report_month,report_year,report_quarter,system,users_total,transactions_total,transaction_value_jod,user_jordanian_count,user_non_jordanian_count,user_male_count,user_female_count,user_age_under_30_count,user_age_31_50_count,user_age_51_plus_count,customer_individual_count,customer_legal_entity_count,wallet_individual_count,wallet_commercial_count,user_existing_count,user_new_count,tx_purchases_count,tx_money_transfers_count,tx_cash_out_count,tx_cash_in_count,value_purchases_jod,value_money_transfers_jod,value_cash_out_jod,value_cash_in_jod,on_us_money_transfer_count,off_us_money_transfer_count,on_us_money_transfer_value_jod,off_us_money_transfer_value_jod,billers_total,services_total,ef_cash_payment_count,ef_digital_payment_count,ef_cash_payment_value_jod,ef_digital_payment_value_jod,ach_jod_transaction_count,ach_usd_transaction_count,ach_usd_transaction_value,ach_eur_transaction_count,ach_eur_transaction_value,ach_gbp_transaction_count,ach_gbp_transaction_value,returned_cheque_count,returned_cheque_value_jod,returned_cheque_count_rate_pct,returned_cheque_value_rate_pct,activity_level
2024-02,2024,Q1,ACH,0,899000,702000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893000,5194,33400000,283,2700000,27,250000,0,0,0,0,Low Activity
2024-02,2024,Q1,CliQ,1280000,4730000,714000000,1240000,41400,811000,443000,512000,553000,198000,1260000,18520,0,0,0,0,557800,4170000,0,0,111100000,602600000,0,0,800000,2350000,100900000,414200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-02,2024,Q1,ECCU,0,523000,3250000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,125000000,3.4,3.85,Normal Activity
2024-02,2024,Q1,JoMoPay,2220000,3460000,364000000,1960000,261000,1160000,1050000,807000,1001000,406000,0,0,2210000,6408,0,0,151400,3100000,147800,109800,9900000,307100000,24900000,22000000,1180000,1030000,88200000,75600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-02,2024,Q1,eFAWATEERcom,4190000,5160000,1016000000,0,0,0,0,0,0,0,0,0,0,0,4140000,42000,0,0,0,0,0,0,0,0,0,0,0,0,528,1757,1060000,4100000,184600000,831700000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-03,2024,Q1,ACH,0,908000,737000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902000,5223,33600000,279,2700000,29,230000,0,0,0,0,Normal Activity
2024-03,2024,Q1,CliQ,1330000,5290000,808000000,1290000,43500,841000,461000,524000,577000,211000,1310000,19700,0,0,0,0,638100,4600000,0,0,125500000,682800000,0,0,900000,2600000,116100000,466600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-03,2024,Q1,ECCU,0,514000,3060000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18100,131000000,3.5,4.28,Low Activity
2024-03,2024,Q1,JoMoPay,2250000,3900000,400000000,1990000,264000,1170000,1070000,811000,1017000,416000,0,0,2240000,6449,0,0,175500,3400000,152900,113900,10900000,338000000,26400000,24700000,1320000,1140000,96400000,83200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2024-03,2024,Q1,eFAWATEERcom,4220000,5140000,971000000,0,0,0,0,0,0,0,0,0,0,0,4190000,33000,0,0,0,0,0,0,0,0,0,0,0,0,534,1780,960500,4170000,155700000,815200000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
